,일자,mean_reqTime
0,2022-08-22,36.6
1,2022-08-23,37.8
2,2022-08-24,40.2
3,2022-08-25,35.8
4,2022-08-26,38.6
5,2022-08-29,34.4
6,2022-08-30,35.2
7,2022-08-31,36.2
8,2022-09-01,39.8
9,2022-09-02,41.2
10,2022-09-05,37.2
11,2022-09-07,37.6
12,2022-09-08,38.2
13,2022-09-13,39.0
14,2022-09-14,36.6
15,2022-09-15,34.6
16,2022-09-16,40.8
17,2022-09-19,36.4
18,2022-09-20,36.0
19,2022-09-21,34.6
20,2022-09-22,34.8
21,2022-09-23,38.6
22,2022-09-26,33.0
23,2022-09-27,35.4
24,2022-09-28,31.8
25,2022-09-29,34.4
26,2022-09-30,36.2
27,2022-10-04,37.4
28,2022-10-05,36.2
29,2022-10-06,37.2
30,2022-10-07,35.6
31,2022-10-11,39.8
32,2022-10-12,36.6
33,2022-10-13,33.2
34,2022-10-14,36.0
35,2022-10-17,34.6
36,2022-10-18,39.2
37,2022-10-19,37.0
38,2022-10-20,37.0
39,2022-10-21,36.8
40,2022-10-24,39.2
41,2022-10-25,39.4
42,2022-10-26,42.4
43,2022-10-27,36.8
44,2022-10-28,39.8
45,2022-10-31,39.6
46,2022-11-01,38.4
47,2022-11-02,41.8
48,2022-11-03,37.4
49,2022-11-04,37.2
50,2022-11-07,37.6
51,2022-11-08,36.2
52,2022-11-09,38.6
53,2022-11-10,35.0
54,2022-11-11,46.2
55,2022-11-14,40.2
56,2022-11-15,39.4
57,2022-11-16,37.8
58,2022-11-17,36.0
59,2022-11-18,36.4
60,2022-11-21,38.0
61,2022-11-22,37.4
62,2022-11-23,42.6
63,2022-11-24,38.0
64,2022-11-25,36.8
65,2022-11-28,41.0
66,2022-11-29,43.6
67,2022-11-30,41.0
68,2022-12-01,42.2
69,2022-12-02,42.0
70,2022-12-05,40.4
71,2022-12-06,39.0
72,2022-12-07,37.6
73,2022-12-08,38.0
74,2022-12-09,39.6
75,2022-12-12,39.0
76,2022-12-13,37.8
77,2022-12-14,37.2
78,2022-12-15,38.8
79,2022-12-16,39.4
80,2022-12-19,40.4
81,2022-12-20,40.0
82,2022-12-21,42.0
83,2022-12-22,39.4
84,2022-12-23,36.4
85,2022-12-26,42.2
86,2022-12-27,42.4
87,2022-12-28,40.8
88,2022-12-29,40.4
89,2022-12-30,37.6
90,2023-01-02,41.6
91,2023-01-03,39.2
92,2023-01-04,37.8
93,2023-01-05,38.6
94,2023-01-06,38.8
95,2023-01-09,39.8
96,2023-01-10,39.4
97,2023-01-11,37.6
98,2023-01-12,39.8
99,2023-01-13,41.2
100,2023-01-16,36.2
101,2023-01-17,39.6
102,2023-01-18,40.4
103,2023-01-19,38.8
104,2023-01-20,38.2
105,2023-01-25,36.6
106,2023-01-26,35.4
107,2023-01-27,38.2
108,2023-01-30,37.0
109,2023-01-31,36.0
110,2023-02-01,40.0
111,2023-02-02,37.4
112,2023-02-03,38.8
113,2023-02-06,38.4
114,2023-02-07,37.4
115,2023-02-08,38.4
116,2023-02-09,37.4
117,2023-02-10,38.6
118,2023-02-13,39.0
119,2023-02-14,37.6
120,2023-02-15,36.6
121,2023-02-16,38.6
122,2023-02-17,35.4
123,2023-02-20,37.8
