Date,평균입실시간
2022-08-22,84430
2022-08-23,84700
2022-08-24,90500
2022-08-25,84436
2022-08-26,84512
2022-08-29,85712
2022-08-30,84600
2022-08-31,85236
2022-09-01,85236
2022-09-02,84736
2022-09-05,85248
2022-09-07,85400
2022-09-08,84430
2022-09-13,90200
2022-09-14,84436
2022-09-15,84412
2022-09-16,84900
2022-09-19,84715
2022-09-20,84436
2022-09-21,84112
2022-09-22,85148
2022-09-23,85000
2022-09-26,85215
2022-09-27,84348
2022-09-28,85500
2022-09-29,84224
2022-09-30,84924
2022-10-04,84612
2022-10-05,84212
2022-10-06,84936
2022-10-07,84448
2022-10-11,85048
2022-10-12,92336
2022-10-13,84712
2022-10-14,85430
2022-10-17,84936
2022-10-18,85112
2022-10-19,85036
2022-10-20,85100
2022-10-21,84800
2022-10-24,85015
2022-10-25,84536
2022-10-26,85448
2022-10-27,84436
2022-10-28,84945
2022-10-31,85524
2022-11-01,84912
2022-11-02,85030
2022-11-03,85612
2022-11-04,84636
2022-11-07,84400
2022-11-08,84015
2022-11-09,85548
2022-11-10,84512
2022-11-11,85312
2022-11-14,84930
2022-11-15,84530
2022-11-16,84645
2022-11-17,84430
2022-11-18,84800
2022-11-21,84336
2022-11-22,84336
2022-11-23,85424
2022-11-24,84824
2022-11-25,84500
2022-11-28,84340
2022-11-29,85630
2022-11-30,84912
2022-12-01,91536
2022-12-02,84345
2022-12-05,85300
2022-12-06,84130
2022-12-07,84915
2022-12-08,91000
2022-12-09,92545
2022-12-12,84730
2022-12-13,84245
2022-12-14,83830
2022-12-15,84800
2022-12-16,84000
2022-12-19,85600
2022-12-20,84348
2022-12-21,84800
2022-12-22,83715
2022-12-23,84424
2022-12-26,84600
2022-12-27,84345
2022-12-28,85100
2022-12-29,85430
2022-12-30,84836
2023-01-02,85000
2023-01-03,85448
2023-01-04,84924
2023-01-05,85624
2023-01-06,83700
2023-01-09,90048
2023-01-10,85230
2023-01-11,85112
2023-01-12,95012
2023-01-13,90245
2023-01-16,93445
2023-01-17,85212
2023-01-18,85000
2023-01-19,90124
2023-01-20,92824
2023-01-25,85120
2023-01-26,90430
2023-01-27,84630
2023-01-30,85030
2023-01-31,84720
2023-02-01,84824
2023-02-02,84145
2023-02-03,83848
2023-02-06,93740
2023-02-07,84615
2023-02-08,83400
2023-02-09,82800
2023-02-10,82830
2023-02-13,92415
2023-02-14,92615
2023-02-15,90736
2023-02-16,85800
2023-02-17,83500
2023-02-20,83936
